konfiguracja,mae,czas_treningu,epochs_run
"Simple LSTM (1 layer, 50 units)",5.460663801786915,7.500411748886108,10
"Deep LSTM (2 layers, 50 units)",5.9810034644524785,10.901643514633179,10
LSTM (10 units),16.150921524755212,4.863487243652344,10
LSTM (100 units),7.215796868532698,6.824952125549316,10
"LSTM (2 layers, 100 units, Dropout 0.2)",5.427957698998862,12.851596593856812,10
"LSTM (2 layers, 100 units, Dropout 0.5)",6.147303903339714,12.870049953460693,10
LSTM (SGD Optimizer),130.63575073899023,9.379453182220459,10
LSTM (High LR 0.01),6.763663538244386,10.227929592132568,10
LSTM (Low LR 0.0001),13.869025981978865,8.474796056747437,8
LSTM (Batch Size 16),5.732961844134804,14.82478404045105,10
LSTM (Batch Size 64),6.75370396999334,7.375972747802734,10
"Deep LSTM (3 layers, 50 units)",6.677940141286283,13.251984119415283,9
